Self Sourcing Component Lists,,,,,
,,,,,
MSX Memory Module,,Notes,Digikey,Mouser,Other
3,470 Ω,,https://www.digikey.com.au/en/products/detail/yageo/MFR-25FTE52-470R/9140223,https://au.mouser.com/ProductDetail/603-MFR-25FTE52-470R,
1,CH376S Module,*4,,,
1,74HCT138,,https://www.digikey.com.au/product-detail/en/texas-instruments/SN74HCT138N/296-1608-5-ND/277254,https://au.mouser.com/ProductDetail/595-SN74HCT138NE4,
1,74HC74,,https://www.digikey.com.au/product-detail/en/texas-instruments/SN74HC74N/296-1602-5-ND/277248,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74HC74N?qs=p6YqzpSxLIzMm7Vo1aTZ0w%3D%3D,
1,74HCT32,,,https://au.mouser.com/ProductDetail/595-SN74HCT32N,
1,LM311N,,https://www.digikey.com.au/en/products/detail/texas-instruments/LM311N-NOPB/6175,https://au.mouser.com/ProductDetail/926-LM311N-NOPB,
1,Right Angle 20x2 Header,,https://www.digikey.com.au/en/products/detail/PH2RA-40-UA/2057-PH2RA-40-UA-ND/9831053,https://au.mouser.com/ProductDetail/Amphenol-FCI/68020-140HLF?qs=QKvFUfBIyQLna9O9OUsYjA%3D%3D,
1,Right Angle 1x20 Header,,https://www.digikey.com.au/product-detail/en/sullins-connector-solutions/PRPC020SBAN-M71RC/S1111EC-20-ND/2775314,https://au.mouser.com/ProductDetail/649-1012937992001BLF,
1,8 POS IC SOCKET,,https://www.digikey.com.au/en/products/detail/assmann-wsw-components/A-08-LC-TT/821740,https://au.mouser.com/ProductDetail/Amphenol-FCI/DILB8P-223TLF?qs=gISD9T5QW%2FAiSV%252BbCwW%2Fog%3D%3D,
2,14 POS IC SOCKET,,https://www.digikey.com.au/product-detail/en/on-shore-technology-inc/ED14DT/ED3045-5-ND/4147595,https://au.mouser.com/ProductDetail/571-1-2199298-3,
1,16 POS IC SOCKET,,https://www.digikey.com.au/product-detail/en/adam-tech/ICS-316-T/2057-ICS-316-T-ND/9832862,https://au.mouser.com/ProductDetail/571-1-2199298-4,
,,,,,
MSX Real-Time-Clock Module,,,,,
1,CR2032,,https://www.digikey.com.au/product-detail/en/BH-25F-1/2057-BH-25F-1-ND/13537755?itemSeq=370627082,https://au.mouser.com/ProductDetail/Eagle-Plastic-Devices/122-2420-GR?qs=%2Fha2pyFadujoQAcwyLVcUkPYLxraQ8oyA1ijZi4npYswn2TPzguMAw%3D%3D,
8,0.1uf,,https://www.digikey.com.au/en/products/detail/vishay-beyschlag-draloric-bc-components/K104K15X7RF5UL2/2820511,https://au.mouser.com/ProductDetail/594-K104K15X7RF5UL2,
1,27pF,,,,
1,30pF,,https://www.digikey.com.au/en/products/detail/kemet/C315C300J1G5TA/6562369?s=N4IgTCBcDaIDoBcAEBhAzARgKzoAy4CkMBxLAFQEEQBdAXyA,https://au.mouser.com/ProductDetail/KEMET/C315C300J1G5TA?qs=%2Fha2pyFadug3bZmDCS58VmnmMTYc9di7x8F8j0kz27yv%2F5rskJp0UQ%3D%3D,
1,33pF,,https://www.digikey.com.au/en/products/detail/vishay-beyschlag-draloric-bc-components/K330J15C0GF5TL2/286461,https://au.mouser.com/ProductDetail/594-K330J15C0GF5TL2,
1,Trimmer Capacitor 6 → 30pF,,,,https://au.rs-online.com/web/p/variable-trimmer-capacitors/1753546/
1,1N4148,,https://www.digikey.com.au/en/products/detail/onsemi/1N4148TA/965850,https://au.mouser.com/ProductDetail/512-1N4148TA,
1,HEADER 1x1,,,,
1,SHUNT 1x2,,,https://au.mouser.com/ProductDetail/426-FIT0140,
1,HEADER 1x2,,,,
2,10K Ω,,https://www.digikey.com.au/en/products/detail/yageo/MFR-25FRF52-10K/14626,https://au.mouser.com/ProductDetail/603-MFR-25FTE52-10K,
2,100K Ω,,,https://au.mouser.com/ProductDetail/603-FM0207FRE52-100K,
2,1K Ω,,,https://au.mouser.com/ProductDetail/603-MFR-25FTE52-1K,
1,RP5C01,,,,
1,74HCT175,,,https://au.mouser.com/ProductDetail/Texas-Instruments/CD74HCT175EE4?qs=xFfolx0DHx1lAsWhkPM9bg%3D%3D,
1,ADM691A,*5,,,
1,74HCT138,,https://www.digikey.com.au/product-detail/en/texas-instruments/SN74HCT138N/296-1608-5-ND/277254,https://au.mouser.com/ProductDetail/595-SN74HCT138NE4,
1,74HCT02,,https://www.digikey.com.au/product-detail/en/texas-instruments/SN74HCT02N/296-8380-5-ND/376866,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74HC02N?qs=st7IWvlL5%2FjbIdufZ10xyA%3D%3D,
1,74HC125,,https://www.digikey.com.au/product-detail/en/texas-instruments/SN74HC125N/296-1572-5-ND/277218,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74HC125NE4?qs=AgY10sKTvDLokkOrwnzHmA%3D%3D,
1,74HC74,,https://www.digikey.com.au/product-detail/en/texas-instruments/SN74HC74N/296-1602-5-ND/277248,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74HC74N?qs=p6YqzpSxLIzMm7Vo1aTZ0w%3D%3D,
1,74HCT21,,https://www.digikey.com.au/products/en/integrated-circuits-ics/logic-gates-and-inverters/705?k=74hct21&k=&pkeyword=74hct21&sv=0&pv69=411897&sf=0&quantity=&ColumnSort=0&page=1&stock=1&excludemarketplace=1&pageSize=100,https://au.mouser.com/ProductDetail/595-CD74HCT21E,
1,32.768KHz,,,https://au.mouser.com/ProductDetail/ABRACON/AB38T-32768KHZ?qs=m%252BUhWDcpCfbdp9ovMbeW3g%3D%3D,
2,Right Angle 1x20 Header,,https://www.digikey.com.au/product-detail/en/sullins-connector-solutions/PRPC020SBAN-M71RC/S1111EC-20-ND/2775314,https://au.mouser.com/ProductDetail/649-1012937992001BLF,
3,16 POS IC SOCKET,,https://www.digikey.com.au/product-detail/en/adam-tech/ICS-316-T/2057-ICS-316-T-ND/9832862,https://au.mouser.com/ProductDetail/571-1-2199298-4,
4,14 POS IC SOCKET,,https://www.digikey.com.au/product-detail/en/on-shore-technology-inc/ED14DT/ED3045-5-ND/4147595,https://au.mouser.com/ProductDetail/571-1-2199298-3,
1,18 POS IC SOCKET,,https://www.digikey.com.au/product-detail/en/adam-tech/ICS-318-T/2057-ICS-318-T-ND/9832865,https://au.mouser.com/ProductDetail/571-1-2199298-5,
,,,,,
MSX YM2149 Game Module,,,,,
4,10uF,,https://www.digikey.com.au/en/products/detail/w%C3%BCrth-elektronik/860010372001/5726842,https://au.mouser.com/ProductDetail/710-860020372001,
7,0.1uF,,https://www.digikey.com.au/en/products/detail/vishay-beyschlag-draloric-bc-components/K104K15X7RF5UL2/2820511,https://au.mouser.com/ProductDetail/594-K104K15X7RF5UL2,
2,33pF,,https://www.digikey.com.au/en/products/detail/vishay-beyschlag-draloric-bc-components/K330J15C0GF5TL2/286461,https://au.mouser.com/ProductDetail/594-K330J15C0GF5TL2,
1,400mA Fuse,,,https://au.mouser.com/ProductDetail/530-0ZRG0075FF1E,
1,RA HEADER 1x2,,,,
1,HEADER 2x5,,,,
2,9-PIN DSUB CONNECTOR,,https://www.digikey.com.au/product-detail/en/A-DS+09+A%2fKG-T2S/AE10968-ND/1241804/?itemSeq=362665223,,
1,3.5 AUDIO SOCKET,,https://www.digikey.com.au/product-detail/en/SJ1-3523N/CP1-3523N-ND/738689,,
1,10k Ω Bussed x 12,,,4613X-101-103LF Bourns | Mouser Australia,
